Ticker,LstdDev,pChange10d,30dG,90dG,close
ABP,1.1750004222446948,-0.0265290304396843,0.00033533333333335413,-0.0016696666666666951,2.7631
AX1,0.44048681965364983,-0.05649274225186356,0.0002563333333333343,0.0006251851851851851,0.2405
ABC,1.7232013056399706,-0.014167242570836187,0.0019036666666666692,0.0012637037037037046,0.2853
APT,4.486686281006857,-0.11475409836065563,-0.0010666666666667565,-0.025340740740740712,2.7
AGL,4.864544607846304,-0.00771807479088712,0.013760999999999987,-0.0015469259259259004,5.0655
ALQ,2.9044509295864844,0.021857923497267815,2.6666666666667892e-06,-5.814814814814359e-06,0.0187
ALU,5.041914929065875,0.06667083424499104,-0.026123000000000073,0.012655037037037027,3.4126
AJM,0.07442950091195712,0.024276377217553734,-0.0005866666666666677,2.670370370370363e-05,0.1097
AWC,0.8302608073351943,0.033008991255080736,0.011280333333333337,0.0017676296296296387,1.6774
AMA,0.361003684040941,0.0,-0.0002146666666666704,-0.00018314814814814585,0.1866
AYS,0.4352034562633866,-0.03306841549491463,-0.007295333333333402,-0.0025574444444444394,1.7398
AMC,4.348174512223303,0.012841299695181295,0.00845366666666664,-0.00043711111111110785,1.5617
AMP,1.1860952617151195,0.006624739426915969,0.01936599999999998,0.0014329629629629556,5.6981
ANN,6.598916256366878,0.07464043280015235,0.04715633333333334,0.014098777777777786,7.3298
ANZ,7.406548997790923,-0.03607934285940668,0.00440100000000004,-0.006294074074074111,3.6495
APA,2.7878071043524932,-0.0909090909090909,-0.0007966666666666641,-0.0009847777777777875,0.525
APX,4.146981632380324,-0.07882966828177404,-0.002698333333333332,-0.0010060370370370416,0.4943
ARB,5.827497632085264,0.0967348927875244,0.0006756666666666707,0.0004468888888888985,0.4501
AAD,0.6959167542088885,-0.011843460350154603,0.00024166666666666873,2.2592592592593187e-05,0.1919
ARF,0.5004961899858477,0.029363784665579054,-0.00024033333333332388,-0.0014008518518518513,0.7572
ALL,6.463186560579868,0.007344479794219201,0.0027520000000000135,0.002366592592592593,2.9763
ARQ,0.8526891228220942,0.2282507412113513,-0.048212666666666654,0.001575814814814786,2.8999
AHY,0.25198389042908165,-0.005690305142613278,-0.003789333333333326,-0.00119633333333334,1.3979
ASX,14.94051941024467,-0.08845134553474558,-0.033763000000000015,0.010677851851851836,5.125
ALX,1.875584511200845,-0.13982083260144038,-0.001631333333333329,-0.00084340740740741,0.4897
AIA,1.8847042491354908,-0.022916666666666745,0.0006723333333333377,-4.962962962963095e-06,0.1876
AMI,0.3025701878340126,-0.34186565882150827,-0.00724733333333331,-0.0002838148148148164,0.7662
AZJ,0.8211331022786279,-0.011157318186428653,0.00024566666666661814,-0.00555099999999999,1.9498
ASL,0.7915641602635008,-0.04886561954624777,-4.899999999999997e-05,0.0006693333333333325,0.1635
AST,0.4117586128192934,-0.022568732047599526,0.0002443333333333353,0.00020748148148148134,0.4764
ASB,0.632735505279881,0.04278528574025817,0.004922333333333332,0.0020954814814814746,1.7207
AAC,0.514404875983673,0.13627835579055086,0.004206333333333327,-0.00020733333333334454,0.6662
API,0.5133353986933356,-0.014318588596267065,0.001409666666666646,-0.00015522222222222635,0.7709999999999999
AHG,1.039664164769545,-0.13043478260869565,-0.0004326666666666775,-0.0015971481481481537,0.44
AVN,0.18669379318265467,-0.009910075243163879,-0.00032366666666667023,-0.0005171481481481536,1.6185
AOG,4.660519624735891,0.01709601873536302,0.006424,0.005030407407407386,2.6058
BOQ,2.8354193540256207,0.01216457960644019,-0.0014889999999999997,-0.00089437037037037,1.6974
BAP,1.61186881934621,-0.014442647632855526,0.00163866666666664,-0.004457851851851838,1.7674
BPT,0.4276884499815203,-0.03343949044585984,-0.002457333333333337,0.00011725925925925954,0.1214
BGA,1.9065549698702715,0.035290911568333604,0.0046633333333333605,8.000000000000106e-05,1.5196
BAL,4.873468400013076,-0.08098848228604752,0.0003066666666666699,-0.0029284074074074026,1.2607
BEN,2.6705176423951444,0.0,-9.499999999999324e-05,0.00023511111111111185,1.8317
BHP,9.144161621465933,0.03499128294533901,0.031118999999999987,0.004423407407407441,5.0461
BIN,0.42447325901362026,0.023260118460019786,-4.700000000000444e-05,-0.005221148148148116,1.6585
BKL,47.05815216221671,0.009579633436857738,-0.008830000000000027,-0.003535037037037024,2.3080000000000003
BLA,3.629470276720608,0.0,0.0036529999999999952,-0.0007901851851851858,0.7799
BSL,11.881921273786933,0.014503451302717194,0.004842666666666714,-0.017206592592592686,10.1706
