Ticker,Index,Close
ALQ,41,4.82
ALQ,40,4.828
ALQ,39,4.1853
ALQ,38,6.928999999999999
ALQ,37,6.9693
ALQ,36,7.1347
ALQ,35,7.8152
ALQ,34,6.2374
ALQ,33,8.1262
ALQ,32,6.89
ALQ,31,4.8243
ALQ,30,4.7609
ALQ,29,4.015
ALQ,28,2.9564
ALQ,27,2.4784
ALQ,26,2.1552
ALQ,25,1.4373
ALQ,24,1.2178
ALQ,23,2.0013
ALQ,22,1.3088
ALQ,21,1.5299
ALQ,20,1.2911
ALQ,19,0.9868
ALQ,18,0.7075
ALQ,17,0.539
ALQ,16,0.3841
ALQ,15,0.2866
ALQ,14,0.2324
ALQ,13,0.1799
ALQ,12,0.14300000000000002
ALQ,11,0.1119
ALQ,10,0.0914
ALQ,9,0.061
ALQ,8,0.0562
ALQ,7,0.0511
ALQ,6,0.0504
ALQ,5,0.0443
ALQ,4,0.0375
ALQ,3,0.0265
ALQ,2,0.0223
ALQ,1,0.0176
ALQ,0,0.0187
ALU,50,21.77
ALU,49,20.317999999999998
ALU,48,21.6115
ALU,47,12.706
ALU,46,8.2938
ALU,45,7.7106
ALU,44,8.4999
ALU,43,6.114
ALU,42,4.1343
ALU,41,4.0132
ALU,40,4.7754
ALU,39,2.9661
ALU,38,2.1587
ALU,37,2.1148
ALU,36,2.2003
ALU,35,1.4379
ALU,34,0.8952
ALU,33,0.6348
ALU,32,0.2689
ALU,31,0.0999
ALU,30,0.0768
ALU,29,0.1614
ALU,28,0.2151
ALU,27,0.2651
ALU,26,0.3458
ALU,25,0.3654
ALU,24,0.3654
ALU,23,0.4751
ALU,22,0.6006
ALU,21,0.7682
ALU,20,0.8032
ALU,19,0.5552
ALU,18,0.1847
ALU,17,0.1688
ALU,16,0.1566
ALU,15,0.1401
ALU,14,0.1911
ALU,13,0.2229
ALU,12,0.2898
ALU,11,0.3312
ALU,10,0.3885
ALU,9,0.2866
ALU,8,0.7897
ALU,7,0.7542
ALU,6,1.8981
ALU,5,2.7026
ALU,4,3.1218
ALU,3,2.9284
ALU,2,3.0825
ALU,1,2.1774
ALU,0,3.4126
AJM,50,0.18
AJM,49,0.275
AJM,48,0.405
AJM,47,0.38
AJM,46,0.15
AJM,45,0.155
AJM,44,0.125
AJM,43,0.19
AJM,42,0.076
AJM,41,0.035
AJM,40,0.012
AJM,39,0.0427
AJM,38,0.1135
AJM,37,0.1588
AJM,36,0.1225
AJM,35,0.1089
AJM,34,0.11800000000000001
AJM,33,0.1634
AJM,32,0.1543
AJM,31,0.1543
AJM,30,0.1588
AJM,29,0.1543
AJM,28,0.1725
AJM,27,0.1316
AJM,26,0.19399999999999998
AJM,25,0.2072
AJM,24,0.0933
AJM,23,0.0696
AJM,22,0.0718
AJM,21,0.3517
AJM,20,0.1507
AJM,19,0.244
AJM,18,0.17600000000000002
AJM,17,0.0759
AJM,16,0.0668
AJM,15,0.1123
AJM,14,0.1851
AJM,13,0.1123
AJM,12,0.1275
AJM,11,0.1047
AJM,10,0.0756
AJM,9,0.0727
AJM,8,0.0901
AJM,7,0.0494
AJM,6,0.0581
AJM,5,0.1045
AJM,4,0.1202
AJM,3,0.1202
AJM,2,0.0758
AJM,1,0.1045
AJM,0,0.1097
AWC,50,2.2
AWC,49,2.7161
AWC,48,2.2554
AWC,47,2.2027
AWC,46,1.7041
AWC,45,1.771
AWC,44,1.2067
AWC,43,1.2186
AWC,42,0.9437
AWC,41,1.163
AWC,40,1.3444
AWC,39,1.2868
AWC,38,1.123
AWC,37,1.0021
AWC,36,0.7877
AWC,35,0.7448
AWC,34,0.6941
AWC,33,0.5186
AWC,32,0.9670000000000001
AWC,31,1.1915
AWC,30,1.6954
AWC,29,1.8316
AWC,28,1.2962
AWC,27,1.2353
AWC,26,1.1521
AWC,25,0.9937
AWC,24,0.7346
AWC,23,2.2847
AWC,22,3.2987
AWC,21,3.0976
AWC,20,3.4197
AWC,19,3.5147
AWC,18,3.2633
AWC,17,3.0388
AWC,16,3.5148
AWC,15,2.8184
